month,day,year,hour,curtailment_type,reason,curtail_category,fuel_type,curtailed_MWh,curtailed_MW
6,30,2016,1,Economic,Local,Economic - Local,WIND,3,17
6,30,2016,2,Economic,Local,Economic - Local,WIND,0,4
6,30,2016,7,Economic,Local,Economic - Local,WIND,1,15
6,30,2016,11,Economic,Local,Economic - Local,WIND,20,69
6,30,2016,14,Economic,Local,Economic - Local,WIND,13,
7,1,2016,1,Economic,System,Economic - System,WIND,5,61
7,1,2016,7,Economic,Local,Economic - Local,WIND,3,34
7,1,2016,9,SelfSchCut,Local,SelfSchCut - Local,SOLR,26,54
7,1,2016,10,Economic,Local,Economic - Local,SOLR,9,16
7,1,2016,10,Economic,Local,Economic - Local,WIND,4,23
7,1,2016,10,ExDispatch,Local,ExDispatch - Local,SOLR,8,57
7,1,2016,10,SelfSchCut,Local,SelfSchCut - Local,SOLR,6,7
7,1,2016,11,Economic,Local,Economic - Local,SOLR,16,12
7,1,2016,11,Economic,Local,Economic - Local,WIND,3,23
7,1,2016,11,ExDispatch,Local,ExDispatch - Local,SOLR,64,67
7,1,2016,11,SelfSchCut,Local,SelfSchCut - Local,SOLR,2,
7,1,2016,12,Economic,Local,Economic - Local,SOLR,5,
7,1,2016,12,ExDispatch,Local,ExDispatch - Local,SOLR,30,
7,1,2016,12,ExDispatch,System,ExDispatch - System,SOLR,28,73
7,1,2016,13,ExDispatch,Local,ExDispatch - Local,SOLR,61,
7,1,2016,13,ExDispatch,System,ExDispatch - System,SOLR,19,113
7,1,2016,14,ExDispatch,System,ExDispatch - System,SOLR,110,111
7,1,2016,15,ExDispatch,Local,ExDispatch - Local,SOLR,27,109
7,1,2016,15,ExDispatch,System,ExDispatch - System,SOLR,45,
7,1,2016,15,SelfSchCut,Local,SelfSchCut - Local,SOLR,2,
7,2,2016,8,Economic,Local,Economic - Local,WIND,6,26
7,2,2016,9,Economic,Local,Economic - Local,WIND,19,70
7,2,2016,22,Economic,Local,Economic - Local,WIND,1,
7,3,2016,1,Economic,Local,Economic - Local,WIND,1,7
7,3,2016,8,Economic,System,Economic - System,SOLR,21,251
7,3,2016,8,Economic,System,Economic - System,WIND,0,0
7,3,2016,9,Economic,Local,Economic - Local,WIND,2,9
7,3,2016,9,Economic,System,Economic - System,SOLR,11,61
7,3,2016,10,Economic,System,Economic - System,SOLR,22,140
7,3,2016,12,Economic,System,Economic - System,WIND,2,
7,4,2016,4,Economic,Local,Economic - Local,WIND,11,43
7,4,2016,5,Economic,Local,Economic - Local,WIND,7,55
7,4,2016,7,Economic,Local,Economic - Local,WIND,5,27
7,4,2016,8,Economic,System,Economic - System,SOLR,214,679
7,4,2016,8,Economic,System,Economic - System,WIND,27,62
7,4,2016,9,Economic,System,Economic - System,SOLR,685,820
7,4,2016,9,Economic,System,Economic - System,WIND,10,0
7,4,2016,10,Economic,System,Economic - System,SOLR,46,341
7,4,2016,10,Economic,System,Economic - System,WIND,3,41
7,4,2016,20,Economic,Local,Economic - Local,WIND,2,15
7,4,2016,22,Economic,Local,Economic - Local,WIND,1,7
7,4,2016,23,Economic,Local,Economic - Local,WIND,14,
7,5,2016,1,Economic,System,Economic - System,WIND,0,2
7,5,2016,2,Economic,Local,Economic - Local,WIND,11,60
7,5,2016,2,Economic,System,Economic - System,WIND,47,136
7,5,2016,3,Economic,Local,Economic - Local,WIND,13,
7,5,2016,3,Economic,System,Economic - System,WIND,4,47
7,5,2016,4,Economic,Local,Economic - Local,WIND,7,
7,5,2016,4,Economic,System,Economic - System,WIND,16,116
7,5,2016,5,Economic,System,Economic - System,WIND,36,137
7,5,2016,7,Economic,Local,Economic - Local,WIND,27,63
7,5,2016,9,Economic,Local,Economic - Local,WIND,1,7
7,5,2016,12,Economic,System,Economic - System,SOLR,53,112
7,5,2016,14,Economic,Local,Economic - Local,WIND,1,15
7,5,2016,21,SelfSchCut,Local,SelfSchCut - Local,WIND,28,118
7,5,2016,22,Economic,Local,Economic - Local,WIND,0,
7,5,2016,22,SelfSchCut,Local,SelfSchCut - Local,WIND,10,37
7,5,2016,23,SelfSchCut,Local,SelfSchCut - Local,WIND,18,
7,6,2016,7,Economic,Local,Economic - Local,SOLR,1,11
7,6,2016,7,Economic,Local,Economic - Local,WIND,26,89
7,6,2016,8,Economic,Local,Economic - Local,SOLR,209,458
7,6,2016,8,SelfSchCut,Local,SelfSchCut - Local,WIND,1,
7,6,2016,9,Economic,Local,Economic - Local,SOLR,125,
7,7,2016,7,Economic,Local,Economic - Local,WIND,2,27
7,7,2016,14,Economic,Local,Economic - Local,WIND,2,11
7,7,2016,24,Economic,Local,Economic - Local,WIND,2,
7,8,2016,7,Economic,Local,Economic - Local,WIND,1,8
7,8,2016,11,Economic,Local,Economic - Local,WIND,1,13
7,8,2016,17,Economic,Local,Economic - Local,WIND,42,75
7,8,2016,18,Economic,Local,Economic - Local,WIND,58,88
7,8,2016,19,Economic,Local,Economic - Local,WIND,108,125
7,8,2016,20,Economic,Local,Economic - Local,WIND,82,121
7,8,2016,21,Economic,Local,Economic - Local,WIND,29,119
7,8,2016,22,Economic,Local,Economic - Local,WIND,67,94
7,8,2016,23,Economic,Local,Economic - Local,WIND,17,
7,9,2016,1,Economic,Local,Economic - Local,WIND,0,2
7,9,2016,9,Economic,Local,Economic - Local,SOLR,29,262
7,9,2016,9,Economic,Local,Economic - Local,WIND,22,90
7,9,2016,10,Economic,Local,Economic - Local,SOLR,341,502
7,9,2016,10,Economic,Local,Economic - Local,WIND,68,167
7,9,2016,11,Economic,Local,Economic - Local,WIND,19,100
7,9,2016,14,Economic,Local,Economic - Local,WIND,58,119
7,9,2016,15,Economic,Local,Economic - Local,WIND,3,14
7,9,2016,17,SelfSchCut,Local,SelfSchCut - Local,SOLR,0,1
7,9,2016,17,SelfSchCut,Local,SelfSchCut - Local,SOLR,0,1
7,9,2016,17,SelfSchCut,Local,SelfSchCut - Local,SOLR,0,1
7,9,2016,18,Economic,Local,Economic - Local,WIND,9,89
7,9,2016,24,Economic,Local,Economic - Local,WIND,1,
7,10,2016,1,Economic,Local,Economic - Local,WIND,0,1
7,10,2016,9,Economic,Local,Economic - Local,SOLR,21,
7,10,2016,9,Economic,Local,Economic - Local,WIND,9,
7,10,2016,9,Economic,System,Economic - System,SOLR,123,327
7,10,2016,9,Economic,System,Economic - System,WIND,13,89
7,10,2016,10,Economic,Local,Economic - Local,SOLR,290,404
7,10,2016,10,Economic,Local,Economic - Local,WIND,24,107
7,10,2016,11,Economic,Local,Economic - Local,SOLR,48,219
7,10,2016,11,Economic,Local,Economic - Local,WIND,52,92
7,10,2016,11,Economic,System,Economic - System,WIND,3,
7,10,2016,23,Economic,Local,Economic - Local,WIND,0,
7,11,2016,7,Economic,Local,Economic - Local,WIND,2,19
7,11,2016,8,Economic,Local,Economic - Local,SOLR,24,140
7,11,2016,8,Economic,Local,Economic - Local,WIND,1,
7,11,2016,9,Economic,Local,Economic - Local,SOLR,136,
7,12,2016,9,Economic,Local,Economic - Local,SOLR,100,273
7,12,2016,9,Economic,Local,Economic - Local,WIND,0,
7,12,2016,10,Economic,Local,Economic - Local,SOLR,292,654
